,,Here is the full gap analysis. Status key: ✅ Implemented · ⚠️ Partial · ❌ Missing · 🔒 Blocked (env flag/legal),,
,,,,
,,ACTOR 1 — STUDENT,,
,Done,F-STU-001 Registration & Account Setup,,
Priority,Status,AC#,Criterion,Notes
MUST,✅,AC-01,"Mobile OTP, Google OAuth, email+password","MSG91, NextAuth, /api/auth routes"
MUST,✅,AC-02,"Collect Name, Age, Grade, Board, Medium",Onboarding routes + profile schema
MUST,✅,AC-03,"Age < 13 → parent OTP mandatory, cannot bypass",Task 1 & 2 complete
MUST,✅,AC-04,INCOMPLETE profile blocks all learning features,Task 3 — ProfileCompletionGate wired
MUST,✅,AC-05,Up to 6 subjects; core subjects pre-selected,Task 27 — onboarding flow built
MUST,✅,AC-06,Grade immutable post-registration,Task 5 — strip in PATCH handler
SHOULD,✅,AC-07,All other fields editable from Profile screen,/api/user/profile PATCH
SHOULD,⚠️,AC-08,Welcome email + 3-step onboarding checklist shown,Checklist UI done (Task 6); welcome email not confirmed wired to signup event
,Done,F-STU-002 Diagnostic Assessment,,
Priority,Status,AC#,Criterion,Notes
MUST,✅,AC-01,Mandatory per subject before first session,Task 4 — diagnostic hard gate
MUST,✅,AC-02,"Adaptive 15–25 questions, IRT 3PL","lib/irt/, services/diagnostic/engine.ts"
MUST,✅,AC-03,Questions span full grade syllabus,Seeded concept taxonomy
MUST,✅,AC-04,"30-min soft cap, pause/resume within 24 h","Task 24 — DiagnosticFlow, auto-submit worker"
MUST,✅,AC-05,"Output: mastery % per chapter, grade placement, recommended chapter",diagnosticBootstrapWorker
MUST,✅,AC-06,"Visual Knowledge Map — colour only, no numeric score",Task 24 — results screen
SHOULD,⚠️,AC-07,< 10 questions answered → partial data + grade-level start,Auto-submit worker exists; grade-level fallback not confirmed
SHOULD,❌,AC-08,"Retake after 30 days, different question set, rapid-fire detection",No retake cooldown or score-gaming detection implemented
MUST,✅,AC-09,Bootstrap StudentConceptState on completion,diagnosticBootstrapWorker
,Done,F-STU-003 Learning Path Generation,,
Priority,Status,AC#,Criterion,Notes
