file,line,table,event_type,actor,description
app/api/user/onboarding/route.ts,316,Event,otp_widget_token,Student,"Persist OTP widget token after onboarding (userId=updatedUser.id)"
app/api/trial/route.ts,77,AnalyticsEvent,trial_start,Prospective,"Emit 'trial_start' for funnel tracking (phone, UTM)"
app/api/payments/verify-subscription/route.ts,184,AnalyticsEvent,converted_to_paid,Student,"Emit 'converted_to_paid' after subscription verification (userId present)"
lib/whatsapp.ts,118,Event,whatsapp_opt_in|whatsapp_opt_out,Parent,"Track WhatsApp opt-in / opt-out for parent notifications (userId=parentId)"
lib/whatsapp.ts,275,Event,whatsapp_message_sent,Parent,"Record when a WhatsApp message is sent (rate-limit checks reference this event)"
app/api/analytics/event/route.ts,82,AnalyticsEvent,see_VALID_EVENT_TYPES,Student,"Client batch ingestion endpoint; creates AnalyticsEvent via createMany (allowed client-side types listed in VALID_EVENT_TYPES)"
app/api/analytics/event/route.ts,87,AnalyticsEvent,see_VALID_EVENT_TYPES,Student,"Fallback per-row insert when createMany fails (single insert loop)"
worker/jobs/weeklyQuestionHealth.ts,62,AnalyticsEvent,weekly_question_health,System,"Weekly question-bank health summary with counts and lowTopics list"
utils/logEvent.ts,35,Event,variable (caller-supplied),Student,"Utility wrapper to log Event rows for current session user; 'type' param is caller-supplied"
lib/ai/embeddings.ts,49,AnalyticsEvent,ai_call,System,"Embedding call (test path): eventType 'ai_call' with call_type=embed, tokens and cost metadata"
lib/ai/embeddings.ts,85,AnalyticsEvent,ai_call,System,"Embedding batch analytics (call_type=embed) with batch_size, tokens, cost"
lib/ai/embeddings.ts,137,AnalyticsEvent,ai_call,System,"Jest/test deterministic-embedding path emits 'ai_call' for test observability"
lib/ai/embeddings.ts,181,AnalyticsEvent,ai_call,System,"Real embedding batch call analytics (call_type=embed)"
lib/callLLM.ts,406,AnalyticsEvent,ai_call,Student,"LLM success call logging with model, tokens, cost, cache_hit, session_id (userId=meta.studentId)"
lib/callLLM.ts,457,AnalyticsEvent,ai_call,Student,"LLM failed-call analytics for tutor path (failedMeta) incl. error string"
lib/callLLM.ts,486,AnalyticsEvent,ai_call,Student,"LLM failed-call analytics for content path (failedMeta2) incl. error"
services/tutor/turn.ts,388,AnalyticsEvent,safety_trigger,Student,"Emit 'safety_trigger' when input safety fails (JAILBREAK/PII); includes triggers and redacted preview"
services/tutor/turn.ts,622,AnalyticsEvent,safety_triggered,Student,"Emit 'safety_triggered' when output safety events present (sessionId, turnId, triggers)"
services/tutor/turn.ts,810,AnalyticsEvent,hallucination_detected,Student,"Emit 'hallucination_detected' when hallucination checks find issues (hall object in metadata)"
services/tutor/turn.ts,837,AnalyticsEvent,hallucination_blocked,Student,"Emit 'hallucination_blocked' when LLM output is blocked and replaced with safe response"
services/tutor/turn.ts,859,AnalyticsEvent,copy_paste_detected,Student,"Emit 'copy_paste_detected' when copy/paste anomaly detected; anomaly mirrored to message row if present"
scripts/scrape-ncert.ts,572,AnalyticsEvent,ingest_run,System,"Emit 'ingest_run' for curriculum ingest runs with run metrics and errors"
scripts/reembed.ts,137,AnalyticsEvent,ingest_run_retry,System,"Emit 'ingest_run_retry' for re-embed/ops retry runs"
scripts/ingest-curriculum.ts,251,AnalyticsEvent,ingest_run,System,"Emit 'ingest_run' from CLI/ingest script (client variable)"
app/api/challenge/submit/route.ts,56,Event,challenge_completed,Student,"Transactionally record challenge completion and emit 'challenge_completed' event (tx.event.create)"
app/api/student/diagnostic/start/route.ts,85,AnalyticsEvent,diagnostic_started,Student,"Emit 'diagnostic_started' when a student begins a subject diagnostic (sessionId, subjectId, totalQuestions)"
app/api/student/diagnostic/submit/route.ts,235,AnalyticsEvent,diagnostic_completed,Student,"Emit 'diagnostic_completed' when a student submits a diagnostic (sessionId, subjectId, totalQuestions, answeredCount, correctCount, gamingFlag, placement)"
